gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G74230	RBG5	448	2156	2738	12900	902	958
AT1G74240	AT1G74240	39	159	389	1790	74	72
AT1G74250	AT1G74250	126	788	228	1041	344	377
AT1G74260	PUR4	471	2779	1840	7401	1482	1621
AT1G74270	RPL35AC	838	1868	1179	5439	869	971
AT1G74280	AT1G74280	40.937	134.424	26	99.334	61.48	56.612
AT1G74290	AT1G74290	13.063	83.576	3	10.666	31.52	33.388
AT1G74300	AT1G74300	69	265	26	89	82	76
AT1G74310	CLPB1	60	208	19117	82418	119	118
AT1G74320	F1O17.1	247	611	290	1165	274	263
AT1G74330	AT1G74330	91	278	67	283	112	148
AT1G74340	AT1G74340	163	461	171	780	185	232
AT1G74350	AT1G74350	25	61	6	33	26	22
AT1G74360	AT1G74360	26	155	5	30	77	74
AT1G74370	AT1G74370	152	680	180	824	266	238
AT1G74380	GT5	419	1570	182	683	608	711
AT1G74390	NEN3	60	233	50	191	128	124
AT1G74400	PCMP-E68	10	39	4	15	14	10
AT1G74410	ATL24	108	305.002	52	242.001	108	103
AT1G74420	FUT3	7	22.998	11	58.999	22	23
AT1G74430	MYB95	70.562	185.488	8.669	63.318	94.428	104.289
AT1G74440	AT1G74440	39.438	169.512	35.331	130.682	59.572	77.711
AT1G74448	AT1G74448	0	0	0	0	0	0
AT1G74450	AT1G74450	221	533	112	501	194	211
AT1G74453	AT1G74453	11	7	3	14	1	2
AT1G74456	AT1G74456	0	0	0	0	0	0
AT1G74457	AT1G74457	0	0	0	0	0	0
AT1G74458	AT1G74458	76	131	6	19	49	78
AT1G74460	AT1G74460	1	0	1	4	0	0
AT1G74470	CHLP	16426	79118	27736	117165	29910	30601
AT1G74480	RKD2	5	8	6	4	5	6
AT1G74490	AT1G74490	10	8	15	64	17	11
AT1G74500	PRE3	0	0	0	0	0	0
AT1G74510	AT1G74510	181	594	202	880	229	276
AT1G74520	HVA22A	447	1189	232	759	412	465
AT1G74530	AT1G74530	161	577	218	868.999	220	252
AT1G74540	CYP98A8	6.477	28.035	0	7	18.078	15.956
AT1G74545	AT1G74545	1.523	4.965	1	0	3.922	1.044
AT1G74550	CYP98A9	3	6	6	23	1	7
AT1G74560	NRP1	607	1616	2109	9319	1016	1097
AT1G74570	AT1G74570	0	0	0	0	0	0
AT1G74580	AT1G74580	35	137	16	64	63	62
AT1G74590	GSTU10	22	138	27	101	49	44
AT1G74600	PCMP-E69	22	110	9	31	49	73
AT1G74620	AT1G74620	0	0	0	0	0	0
AT1G74630	PCMP-H71	9	33	2	1	27	17
AT1G74640	AT1G74640	389	2356	70	326	826	842
AT1G74650	ATY13	32	81	5	21	36	32
AT1G74660	MIF1	3	20	0	2	10	6
AT1G74670	GASA6	1851	6880	125	537	3432	3625
AT1G74680	AT1G74680	162	599	27	130	260	238
AT1G74690	IQD31	540	1994	289	1293	1049	1115
AT1G74700	NUZ	61	91	10	17	47	40
AT1G74710	ICS1	79	437	49	261	201	210
AT1G74720	QKY	158	815	343	1560	410	434
AT1G74730	AT1G74730	2618	7323	741	3164	2850	2931
AT1G74740	CPK30	75	228	26	126	95	104
AT1G74750	AT1G74750	30	165	27	114	73	69
AT1G74770	AT1G74770	2	7	3	5	2	1
AT1G74780	AT1G74780	54	243	264	1153	100	113
AT1G74790	HIPL1	136	477	99	383	294	266
AT1G74800	B3GALT18	106	404	21	49	191	217
AT1G74810	BOR5	17	91	13	35	51	47
AT1G74820	AT1G74820	0	0	0	0	0	0
AT1G74830	MYOB6	0	0	0	0	0	0
AT1G74840	AT1G74840	404	1711	243	1023	746	789
AT1G74850	PTAC2	275	1515	331	1487	752	787
AT1G74860	AT1G74860	48	142	112	433	90	102
AT1G74870	AT1G74870	13	19	56	168	14	18
AT1G74875	AT1G74875	0	0	0	0	0	0
