gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G35120	AT1G35120	0	1	0	0	0	1
AT1G35130	AT1G35130	0	1	0	0	3	1
AT1G35140	EXL1	33	120	7	33	88	85
AT1G35143	AT1G35143	0	0	0	0	0	0
AT1G35146	AT1G35146	0	0	0	0	0	0
AT1G35150	AT1G35150	0	0	0	0	0	0
AT1G35160	GRF4	810	2606	683	2796	1142	1170
AT1G35170	AT1G35170	0	0	0	0	0	0
AT1G35180	AT1G35180	51	190	54	220	58	71
AT1G35181	AT1G35181	0	0	0	0	0	0
AT1G35183	AT1G35183	0	0	0	1	0	0
AT1G35186	AT1G35186	0	0	0	0	0	0
AT1G35190	AT1G35190	98	393	111	472	178	154
AT1G35200	AT1G35200	0	1	0	1	1	2
AT1G35210	AT1G35210	105	202	2	11	57	77
AT1G35220	AT1G35220	182	720	110	498	324	345
AT1G35230	AGP5	11	70	0	1	22	29
AT1G35240	ARF20	0	0	0	0	0	0
AT1G35242	AT1G35242	0	0	0	0	0	0
AT1G35250	AT1G35250	0	0	0	0	0	0
AT1G35255	AT1G35255	3	4	1	0	4	1
AT1G35260	MLP165	38	58	0	0	31	27
AT1G35270	AT1G35270	0	0	0	0	0	0
AT1G35280	AT1G35280	0	1	0	0	0	0
AT1G35290	AT1G35290	25	4	10	35	8	11
AT1G35300	AT1G35300	0	0	0	0	1	0
AT1G35310	MLP168	12	12	4	34	15	15
AT1G35320	AT1G35320	152	285	11	37	158	180
AT1G35330	ATL34	0	0	0	0	0	0
AT1G35333	AT1G35333	0	0	0	0	0	0
AT1G35340	AT1G35340	399	1778.999	124	500	604.001	621
AT1G35350	PHO1-H8	153.998	615.999	22	63	302	267.999
AT1G35360	AT1G35360	0	0	0	0	0	0
AT1G35365	AT1G35365	0	0	0	0	0	0
AT1G35370	AT1G35370	0	0	0	0	0	0
AT1G35375	AT1G35375	0	0	0	0	0	0
AT1G35380	AT1G35380	0	0	0	0	1	0
AT1G35390	AT1G35390	0	0	0	0	0	0
AT1G35400	AT1G35400	0	0	0	0	0	0
AT1G35405	AT1G35405	0	0	0	0	0	0
AT1G35410	AT1G35410	0	0	0	0	0	0
AT1G35420	AT1G35420	673	3092	567	2554	1004	1085
AT1G35430	AT1G35430	39	184	16	64	51	60
AT1G35435	AT1G35435	0	0	0	0	0	0
AT1G35440	CYCT1-1	0	0	0	0	0	0
AT1G35450	AT1G35450	0	0	0	0	0	0
AT1G35460	BHLH80	247	538	138	558	239	217
AT1G35461	AT1G35461	0	0	0	0	0	0
AT1G35465	AT1G35465	0	0	0	0	0	0
AT1G35467	RALFL5	0	0	0	0	0	0
AT1G35470	AT1G35470	145	497	154	660	221	220
AT1G35480	AT1G35480	0	0	0	0	0	0
AT1G35490	AT1G35490	0	0	0	0	0	0
AT1G35500	AT1G35500	0	0	0	0	0	0
AT1G35501	MIR773A	0	0	0	0	0	0
AT1G35510	AT1G35510	193	749	187	830	320	324
AT1G35513	AT1G35513	12	16	1	6	8	7
AT1G35515	HOS10	7	11	0	1	7	6
AT1G35516	AT1G35516	248	679	177	745	295	290
AT1G35520	ARF15	0	0	0	0	0	0
AT1G35530	AT1G35530	21	72	7	15	65	61
AT1G35535	AT1G35535	0	0	0	0	0	0
AT1G35537	AT1G35537	0	0	0	0	0	0
AT1G35540	ARF14	0	0	0	0	0	0
AT1G35545	AT1G35545	0	0	0	0	0	0
AT1G35550	AT1G35550	0	0	0	0	0	0
AT1G35560	TCP23	124	492	88	323	173	158
AT1G35570	AT1G35570	0	0	0	0	0	0
AT1G35580	CINV1	757	2550.001	733	3022	1420	1434
AT1G35590	AT1G35590	0	0	0	0	0	0
AT1G35600	AT1G35600	0	0	0	2	0	0
AT1G35610	AT1G35610	0	0	0	0	1	0
AT1G35612	AT1G35612	299	857	65	293	338	331
AT1G35614	AT1G35614	0	0	0	0	0	0
AT1G35617	AT1G35617	0	0	0	0	0	0
AT1G35620	PDIL5-2	397	1303	232	781	640	682
AT1G35625	AT1G35625	0	0	1	6	0	1
AT1G35630	RMR5	0	0	1	2	0	1
AT1G35640	AT1G35640	0	0	0	0	0	0
AT1G35645	AT1G35645	0	0	0	0	0	0
AT1G35647	AT1G35647	0	1	0	0	0	0
AT1G35650	AT1G35650	0	0	0	0	0	0
AT1G35660	AT1G35660	83	276	836	3635	139	174
AT1G35663	AT1G35663	0	0	0	0	0	0
AT1G35670	CPK11	171	585	59	160	334	339
AT1G35680	RPL21	3368	13958	4042	17347	5407	5826
AT1G35690	AT1G35690	0	0	0	0	0	0
AT1G35700	AT1G35700	0	0	0	0	0	0
AT1G35710	AT1G35710	635	4519	74	265	1220	1286
AT1G35720	ANN1	4443	8572	2346	9966	4085	4358
AT1G35730	APUM9	2	4	111	513	5	4
AT1G35735	AT1G35735	0	0	52.168	210.563	0	1
AT1G35740	AT1G35740	0	0	0	0	0	0
AT1G35745	AT1G35745	0	0	0	0	0	0
AT1G35750	APUM10	0	0	0	0	0	0
AT1G35760	AT1G35760	0	0	0	0	0	0
AT1G35770	AT1G35770	1	0	0	0	0	0
AT1G35780	AT1G35780	137	377	30	112	253	286
AT1G35790	AT1G35790	0	0	0	0	0	0
AT1G35820	AT1G35820	0	0	0	0	0	0
AT1G35830	AT1G35830	15	68	31	119	20	31
AT1G35840	AT1G35840	0	0	0	0	0	0
AT1G35850	APUM17	0	0	0	0	0	0
AT1G35860	TOC75-I	0	0	0	0	0	0
AT1G35870	AT1G35870	0	0	0	0	0	0
AT1G35880	AT1G35880	1	0	1	0	1	0
AT1G35890	AT1G35890	0	0	1	1	0	0
AT1G35900	AT1G35900	0	0	0	0	0	0
AT1G35910	TPPD	19	36	0	10	35	32
AT1G35920	AT1G35920	0	0	1	0	0	0
AT1G35930	AT1G35930	0	0	0	0	0	0
AT1G35940	AT1G35940	0	0	0	0	0	0
AT1G35950	AT1G35950	0	0	0	0	0	0
AT1G35960	AT1G35960	0	0	0	0	0	0
AT1G35970	AT1G35970	0	0	0	0	0	0
AT1G35980	AT1G35980	0	0	0	0	0	0
AT1G35990	AT1G35990	0	0	0	0	0	0
AT1G35995	AT1G35995	0	0	0	0	0	0
AT1G36000	LBD5	0	0	0	0	0	0
AT1G36010	AT1G36010	0	0	0	0	0	0
AT1G36020	AT1G36020	0	0	0	0	0	1
AT1G36030	AT1G36030	0	0	0	0	0	0
AT1G36035	AT1G36035	0	0	0	0	0	0
AT1G36040	AT1G36040	0	0	0	0	0	0
AT1G36050	AT1G36050	330	1015	250	1035	465	515
AT1G36060	ERF055	28	23	2	16	35	27
AT1G36070	AT1G36070	126	399	121	531	159	174
AT1G36078	AT1G36078	0	0	0	0	0	0
AT1G36080	AT1G36080	0	0	0	0	0	0
AT1G36090	AT1G36090	0	0	0	0	0	0
AT1G36095	AT1G36095	0	0	0	0	0	0
AT1G36100	AT1G36100	0	0	0	0	0	0
AT1G36105	AT1G36105	0	0	0	0	0	0
AT1G36110	AT1G36110	0	0	0	0	0	0
AT1G36120	AT1G36120	0	0	0	0	0	0
AT1G36130	AT1G36130	0	0	0	0	0	0
AT1G36140	AT1G36140	0	0	0	0	0	0
AT1G36150	AT1G36150	0	0	0	0	0	0
AT1G36160	ACC1	786	4019	659	2896	1950.025	2141.022
AT1G36180	ACC2	84	465	36	176	187.975	226.977
AT1G36185	AT1G36185	0	0	0	1	2	2
AT1G36190	AT1G36190	0	0	0	0	0	0
AT1G36200	AT1G36200	0	0	0	0	0	0
AT1G36210	AT1G36210	0	0	0	0	0	0
AT1G36220	AT1G36220	0	0	0	0	0	0
AT1G36225	AT1G36225	0	0	0	0	0	0
AT1G36230	AT1G36230	0	0	0	0	0	0
AT1G36240	RPL30A	3	0	3	0	5	3
AT1G36250	AT1G36250	0	0	0	0	0	0
AT1G36260	AT1G36260	0	0	0	0	0	0
AT1G36270	AT1G36270	0	0	0	0	0	0
AT1G36272	AT1G36272	0	0	0	0	0	0
AT1G36280	AT1G36280	117.051	415.162	48	208.978	209	237
AT1G36290	AT1G36290	0	0	0	0	0	0
AT1G36300	AT1G36300	0	1	0	0	0	0
AT1G36305	AT1G36305	1	0	0	0	0	0
AT1G36310	AT1G36310	346	833	114	505	437	436
AT1G36320	AT1G36320	923	4113	1246	5193	1479	1472
AT1G36330	AT1G36330	0	0	0	0	0	0
AT1G36340	UBC31	3	2	0	0	1	1
AT1G36350	AT1G36350	0	0	0	0	0	0
AT1G36360	AT1G36360	0	0	0	0	1	0
AT1G36370	SHM7	540	2572	166	628	1226	1269
AT1G36380	AT1G36380	110.156	338.998	49.801	198.895	103.675	133.057
AT1G36390	AT1G36390	417.844	1504.002	326.199	1475.105	626.325	654.944
AT1G36395	AT1G36395	0	0	0	0	0	0
AT1G36400	AT1G36400	0	0	0	0	0	1
AT1G36403	AT1G36403	0	0	0	0	0	0
AT1G36406	AT1G36406	0	0	0	0	0	0
AT1G36420	AT1G36420	0	0	0	0	0	0
AT1G36430	AT1G36430	0	0	0	0	0	0
AT1G36440	AT1G36440	0	0	0	0	0	0
AT1G36441	AT1G36441	0	0	0	0	0	0
AT1G36445	AT1G36445	0	0	0	0	0	0
AT1G36450	AT1G36450	0	0	0	0	0	0
AT1G36460	AT1G36460	1	1.501	0	0	1.47	0
AT1G36470	AT1G36470	0	0	0	0	0	0
AT1G36480	AT1G36480	0	0	0	0	0	0
AT1G36485	AT1G36485	0	0	0	0	0	0
AT1G36490	AT1G36490	0	0	0	0	0	0
AT1G36495	AT1G36495	0	0	0	0	0	0
AT1G36500	AT1G36500	0	0	0	0	0	0
AT1G36510	AT1G36510	0	0	0	0	0	0
AT1G36520	AT1G36520	0	0	2.11	1.019	0	0
AT1G36530	AT1G36530	0	0	0	0	0	0
AT1G36540	AT1G36540	0	0	1	0	0	0
AT1G36550	AT1G36550	0	0	0	0	0	0
AT1G36560	AT1G36560	0	0	0	0	0	0
AT1G36570	AT1G36570	0	0	0	0	0	0
AT1G36580	AT1G36580	1.001	0	0	0	0	2
AT1G36590	AT1G36590	0	2	0	2	0	0
AT1G36595	AT1G36595	0	0	0	0	0	0
AT1G36600	AT1G36600	0	1	0	0	0	0
AT1G36605	AT1G36605	0	0	0	0	0	0
AT1G36610	AT1G36610	0	4	0	0	1	1
AT1G36620	AT1G36620	0	4	0	1	0	0
AT1G36622	AT1G36622	20	58	2	6	14	13
AT1G36630	AT1G36630	1	2	412	1958.824	12	7
AT1G36640	AT1G36640	1	2	0	0	0	0
AT1G36650	AT1G36650	0	0	0	0	0	0
AT1G36660	AT1G36660	0	0	0	0	0	0
AT1G36670	AT1G36670	0	0	0	0	1	0
AT1G36675	AT1G36675	2	14	5	12	5	3
AT1G36680	AT1G36680	5	28	0	2	4	4
AT1G36690	AT1G36690	0	0	0	0	0	0
AT1G36700	AT1G36700	0	0	0	0	0	0
AT1G36710	AT1G36710	0	0	0	0	0	0
AT1G36720	AT1G36720	0	0	0	0	0	0
AT1G36730	AT1G36730	1110	4729	7149	29848	2216	2160
AT1G36740	AT1G36740	0	0	0	0	0	0
AT1G36745	AT1G36745	0	0	0	0	0	0
AT1G36750	AT1G36750	0	0	0	0	0	0
AT1G36756	AT1G36756	0	0	0	0	0	0
AT1G36763	AT1G36763	0	0	0	0	0	0
AT1G36770	AT1G36770	0	1	1	7.287	0	2
AT1G36775	AT1G36775	0	1	0	0	0	0
AT1G36790	AT1G36790	0	0	0	0	0	0
AT1G36795	AT1G36795	0	0	0	1.024	0	0
AT1G36800	AT1G36800	0	0	0	0	0	0
AT1G36810	AT1G36810	0	0	0	0	0	0
AT1G36830	AT1G36830	0	0	0	0	0	0
AT1G36840	AT1G36840	0	0	0	0	0	0
AT1G36850	AT1G36850	0	0	0	0	0	0
AT1G36880	AT1G36880	0	0	0	0	0	0
AT1G36890	AT1G36890	0	0	0	0	0	0
AT1G36910	AT1G36910	0	0	0	0	0	0
AT1G36915	AT1G36915	0	0	0	0	0	0
AT1G36920	AT1G36920	1	0	0	0	2	0
AT1G36922	AT1G36922	0	0	0	0	0	1
AT1G36925	AT1G36925	0	0	0	0	0	0
AT1G36927	AT1G36927	0	0	0	0	0	0
AT1G36933	AT1G36933	0	1	0	0	0	0
AT1G36936	AT1G36936	0	0	0	0	0	0
AT1G36940	AT1G36940	19	66	0	1	38	41
AT1G36942	AT1G36942	0	0	0	0	0	0
AT1G36950	AT1G36950	0	0	0	0	0	0
AT1G36960	AT1G36960	0	0	0	0	0	0
AT1G36970	AT1G36970	0	0	0	0	0	0
AT1G36975	AT1G36975	0	0	0	0	0	0
AT1G36980	AT1G36980	365	1602	953	4036	548	556
AT1G36990	AT1G36990	111.584	515.269	105.236	564	285.764	278.802
AT1G36992	AT1G36992	6.416	6.731	2.764	0	3.236	4.198
AT1G37000	AT1G37000	0	0	0	0	0	0
AT1G37007	AT1G37007	0	0	0	0	0	0
AT1G37010	AT1G37010	0	0	0	0	0	0
AT1G37012	AT1G37012	0	0	0	0	0	0
AT1G37015	AT1G37015	0	0	0	0	0	0
AT1G37020	AT1G37020	0	0	0	0	0	0
AT1G37030	AT1G37030	0	0	0	0	0	0
AT1G37035	AT1G37035	0	0	0	0	0	0
AT1G37036	AT1G37036	0	0	0	0	0	0
AT1G37037	AT1G37037	0	0	0	0	0	0
AT1G37038	AT1G37038	0	0	0	0	0	0
AT1G37040	AT1G37040	0	0	0	0	0	0
AT1G37045	AT1G37045	0	0	0	0	0	0
AT1G37050	AT1G37050	0	0	0	0	0	0
AT1G37057	AT1G37057	0	0	0	0	0	0
AT1G37060	AT1G37060	0	0	0	0	0	0
AT1G37063	AT1G37063	0	0	0	0	0	0
AT1G37070	AT1G37070	0	0	0	0	0	0
AT1G37080	AT1G37080	0	0	0	0	0	1
AT1G37090	AT1G37090	0	0	0	0	0	0
AT1G37095	AT1G37095	0	0	0	0	0	0
AT1G37100	AT1G37100	0	0	0	0	0	0
AT1G37110	AT1G37110	0	0	0	0	0	0
AT1G37113	AT1G37113	0	0	0	0	1	1
AT1G37120	AT1G37120	0	0	0	0	0	0
AT1G37130	NIA2	3864	21173	6421	26596	11619	12056
AT1G37140	MCT1	0	0	0	0	0	0
AT1G37150	HCS2	6	19	4	10	3	6
AT1G37160	AT1G37160	0	0	0	0	0	0
AT1G37162	AT1G37162	0	0	0	0	0	0
AT1G37170	AT1G37170	0	0	0	0	0	0
AT1G37180	AT1G37180	0	0	0	0	0	0
AT1G37190	AT1G37190	0	0	0	0	0	0
AT1G37200	AT1G37200	0	0	0	0	1	0
AT1G37210	AT1G37210	0	0	0	0	0	0
AT1G37275	AT1G37275	0	0	0	0	0	0
AT1G37340	AT1G37340	1	0	1	3.253	0	0
AT1G37405	AT1G37405	0	0	0	0	0	0
AT1G37471	AT1G37471	0	0	0	0	0	0
AT1G37537	AT1G37537	0	0	0	0	0	0
AT1G37603	AT1G37603	0	0	1	1	0	0
AT1G37669	AT1G37669	0	0	0	0	0	0
AT1G37735	AT1G37735	0	0	1	2	0	0
AT1G37801	AT1G37801	0	0	0	0	0	0
AT1G37867	AT1G37867	0	0	0	1	0	0
AT1G37933	AT1G37933	0	0	0	0	0	0
AT1G37999	AT1G37999	0	1	0	0	0	2
AT1G38065	AT1G38065	40.294	212.02	0	86.936	110.817	118.155
AT1G38131	AT1G38131	94.706	464.98	82	248.064	228.183	221.845
AT1G38140	AT1G38140	0	0	0	0	0	0
AT1G38149	AT1G38149	0	0	0	1	0	0
AT1G38158	AT1G38158	0	0	0	0	0	0
AT1G38167	AT1G38167	0	0	0	0	0	0
AT1G38176	AT1G38176	0	0	0	1	0	0
AT1G38185	AT1G38185	0	0	3	7.041	0	0
AT1G38194	AT1G38194	0	0	1	4.06	0	0
AT1G38203	AT1G38203	0	0	0	0	0	0
AT1G38212	AT1G38212	0	0	0	0	0	0
AT1G38221	AT1G38221	0	0	0	0	0	0
AT1G38230	AT1G38230	0	0	0	0	0	0
AT1G38240	AT1G38240	0	0	0	0	0	0
AT1G38250	AT1G38250	0	0	0	0	0	0
AT1G38260	AT1G38260	1	0	58.781	286.318	0	0
AT1G38270	AT1G38270	0	0	0	1	0	0
AT1G38280	AT1G38280	0	0	0	0	0	0
AT1G38290	AT1G38290	0	0	0	0	0	0
AT1G38300	AT1G38300	0	0	0	0	0	0
AT1G38310	AT1G38310	0	0	0	0	0	0
AT1G38320	AT1G38320	0	0	0	1	0	0
AT1G38340	AT1G38340	0	0	0	0	0	0
AT1G38350	AT1G38350	0	0	0	0	0	0
AT1G38360	AT1G38360	0	0	0	0	0	0
AT1G38380	AT1G38380	0	0	1	0	0	0
AT1G38390	AT1G38390	0	0	0	0	0	0
AT1G38400	AT1G38400	0	0	1	1	0	0
AT1G38410	AT1G38410	0	0	0	0	0	0
AT1G38416	AT1G38416	0	0	0	0	0	0
AT1G38423	AT1G38423	0	0	0	0	0	0
AT1G38430	AT1G38430	0	2	108.219	572.682	1	0
AT1G38440	AT1G38440	0	0	0	0	0	0
AT1G38450	AT1G38450	0	0	1	1	0	0
AT1G38460	AT1G38460	0	0	0	0	0	0
AT1G38550	AT1G38550	0	0	0	1	0	0
AT1G38630	AT1G38630	0	0	0	0	0	0
AT1G38710	AT1G38710	0	0	0	0	0	0
AT1G38790	AT1G38790	0	0	0	0	0	0
AT1G38870	AT1G38870	0	0	0	0	0	0
AT1G38950	AT1G38950	0	0	0	0	0	0
AT1G39030	AT1G39030	0	0	0	0	0	0
AT1G39110	AT1G39110	1	0	0	1	0	0
AT1G39190	AT1G39190	0	0	0	0	0	0
AT1G39270	AT1G39270	0	0	0	0	0	0
AT1G39350	AT1G39350	0	0	0	0	0	0
AT1G39430	AT1G39430	0	0	0	0	0	0
AT1G39510	AT1G39510	0	0	0	0	1	0
AT1G39511	AT1G39511	0	0	0	0	0	0
AT1G39513	AT1G39513	0	0	0	0	0	0
AT1G39590	AT1G39590	0	0	0	0	0	0
AT1G39670	AT1G39670	0	0	0	0	0	0
AT1G39750	AT1G39750	0	0	0	0	0	0
AT1G39830	AT1G39830	0	0	0	0	0	0
AT1G39910	AT1G39910	0	0	0	0	0	0
AT1G39990	AT1G39990	0	0	0	0	0	0
AT1G40069	AT1G40069	0	0	0	0	0	0
AT1G40070	AT1G40070	0	0	1	1	0	0
AT1G40071	AT1G40071	0	0	0	0	0	0
AT1G40072	AT1G40072	0	0	0	0	0	0
AT1G40073	AT1G40073	0	0	0	0	0	0
AT1G40074	AT1G40074	0	0	1.122	1.029	0	0
AT1G40075	AT1G40075	0	1	0	0	0	0
AT1G40076	AT1G40076	0	0	0	0	0	0
AT1G40077	AT1G40077	0	0	0	3.854	0	0
AT1G40078	AT1G40078	0	0	0	0	0	0
AT1G40079	AT1G40079	0	0	0	0	0	0
AT1G40080	AT1G40080	0	0	0	0	0	0
AT1G40081	AT1G40081	0	0	0	0	0	0
AT1G40083	AT1G40083	0	0	0	0	0	0
AT1G40084	AT1G40084	0	0	0	0	0	0
AT1G40085	AT1G40085	0	0	0	0	0	0
AT1G40087	AT1G40087	0	0	0	0	0	0
AT1G40089	AT1G40089	0	0	0	0	0	0
AT1G40091	AT1G40091	0	0	0	0	0	0
AT1G40093	AT1G40093	0	1	0	0	0	0
AT1G40095	AT1G40095	0	0	2	0	0	0
AT1G40097	AT1G40097	0	0	0	0	0	0
AT1G40099	AT1G40099	0	0	0	0	0	0
AT1G40100	AT1G40100	0	0	0	0	0	0
AT1G40101	AT1G40101	0	0	1	3.207	0	0
AT1G40103	AT1G40103	0	0	0	0	0	0
AT1G40104	AT1G40104	0	0	0	0	0	0
AT1G40105	AT1G40105	1	0	0	0	0	0
AT1G40106	AT1G40106	0	0	0	0	0	0
AT1G40107	AT1G40107	0	0	0	0	0	0
AT1G40109	AT1G40109	0	0	0	0	0	0
AT1G40112	AT1G40112	0	0	0	0	0	0
AT1G40113	AT1G40113	0	0	0	0	0	0
AT1G40115	AT1G40115	0	0	0	0	0	0
AT1G40117	AT1G40117	0	0	0	0	0	0
AT1G40118	AT1G40118	0	0	0	0	0	0
AT1G40119	AT1G40119	0	0	0	2.66	0	0
AT1G40121	AT1G40121	1	2.783	13.674	48.802	0	1.969
AT1G40123	AT1G40123	0	0	0	0	0	0
AT1G40124	AT1G40124	0	0	0	0	0	0
AT1G40125	AT1G40125	0	0	0	1	0	0
AT1G40127	AT1G40127	0	0	0	0	0	0
AT1G40129	AT1G40129	0	0	0	0	0	0
AT1G40130	AT1G40130	0	1	0	0	0	0
AT1G40131	AT1G40131	0	0	0	0	0	0
AT1G40133	AT1G40133	0	0	0	0	0	0
AT1G40135	AT1G40135	0	0	0	0	0	0
AT1G40136	AT1G40136	0	0	0	0	0	0
AT1G40137	AT1G40137	0	0	0	0	0	0
AT1G40139	AT1G40139	0	0	0	0	0	0
AT1G40141	AT1G40141	0	0	0	0	0	0
AT1G40143	AT1G40143	0	0	0	0	0	0
AT1G40150	AT1G40150	0	0	0	0	0	0
AT1G40230	AT1G40230	0	0	0	3	1	0
AT1G40310	AT1G40310	0	0	1.139	4.068	0	1
AT1G40390	AT1G40390	0	0	0	0	0	0
AT1G40470	AT1G40470	0	0	0	0	0	0
AT1G40630	AT1G40630	0	1	0	0	0	0
AT1G41115	AT1G41115	0	0	0	0	0	0
AT1G41600	AT1G41600	0	0	0	0	0	0
AT1G41630	AT1G41630	0	0	0	0	0	0
AT1G41650	AT1G41650	0	0	0	0	0	0
AT1G41660	AT1G41660	0	0	0	1	0	0
AT1G41680	AT1G41680	0	0	0	3.405	0	0
AT1G41690	AT1G41690	0	0	0	0	0	0
AT1G41700	AT1G41700	0	0	0	0	0	0
AT1G41710	AT1G41710	0	0	0	0	0	0
AT1G41720	AT1G41720	0	0	0	0	0	0
AT1G41723	AT1G41723	0	0	0	0	0	0
AT1G41726	AT1G41726	0	0	0	1	0	0
AT1G41730	AT1G41730	0	0	0	0	0	0
AT1G41740	AT1G41740	0	0	0	0	0	0
AT1G41743	AT1G41743	0	0	1	0	0	0
AT1G41746	AT1G41746	0	0	0	0	0	0
AT1G41750	AT1G41750	0	0	0	0	0	0
AT1G41755	AT1G41755	0	0	0	0	0	0
AT1G41760	AT1G41760	0	0	0	0	0	0
AT1G41770	AT1G41770	0	0	0	0	0	0
AT1G41775	AT1G41775	0	0	0	0	0	0
AT1G41790	AT1G41790	0	0	0	0	0	0
AT1G41795	AT1G41795	0	0	0	0	0	0
AT1G41797	AT1G41797	0	0	0	0	0	0
AT1G41798	AT1G41798	0	0	1	0	0	0
AT1G41803	AT1G41803	0	0	0	0	0	0
AT1G41810	AT1G41810	0	0	0	0	0	0
AT1G41820	AT1G41820	0	0	0	0	0	0
AT1G41825	AT1G41825	0	0	0	0	0	0
AT1G41827	AT1G41827	0	0	0	0	0	0
AT1G41830	SKS6	532	2434	625	2632	1005	1036
AT1G41835	AT1G41835	0	0	10.325	64.09	0	0
AT1G41840	AT1G41840	0	0	0	0	0	0
AT1G41850	AT1G41850	0	0	0	0	0	0
AT1G41855	AT1G41855	0	0	0	0	0	0
AT1G41860	AT1G41860	0	0	0	0	0	0
AT1G41870	AT1G41870	0	0	0	0	0	0
AT1G41875	AT1G41875	0	0	0	0	0	0
AT1G41880	RPL35AB	1657.488	2975.766	1145.465	5308.861	1789.537	2144.855
AT1G41890	AT1G41890	0	0	0	0	0	0
AT1G41893	AT1G41893	0	0	0	0	0	0
AT1G41896	AT1G41896	0	0	0	0	0	0
AT1G41900	AT1G41900	0	0	0	0	0	0
AT1G41910	AT1G41910	0	1	0	1	0	0
AT1G41920	AT1G41920	0	0	0	0	0	0
AT1G41930	AT1G41930	0	0	0	0	0	0
AT1G42003	AT1G42003	0	0	0	0	0	0
AT1G42040	AT1G42040	0	0	5	10	0	0
AT1G42045	AT1G42045	0	0	0	1	0	0
AT1G42050	AT1G42050	0	0	23	94	0	2
AT1G42060	AT1G42060	0	0	0	0	0	0
AT1G42070	AT1G42070	0	0	0	1	0	0
AT1G42080	AT1G42080	0	0	0	0	0	0
AT1G42090	AT1G42090	0	0	0	0	0	0
AT1G42100	AT1G42100	0	0	0	0	0	0
AT1G42110	AT1G42110	0	0	0	0	0	0
AT1G42120	AT1G42120	0	0	0	0	0	0
AT1G42130	AT1G42130	0	0	0	0	0	0
AT1G42140	AT1G42140	0	0	0	0	0	0
AT1G42150	AT1G42150	0	0	0	0	0	0
AT1G42160	AT1G42160	0	0	0	0	0	0
AT1G42170	AT1G42170	0	0	0	0	0	0
AT1G42180	AT1G42180	0	0	0	0	0	0
AT1G42190	AT1G42190	0	0	0	0	0	0
AT1G42200	AT1G42200	0	0	0	0	0	0
AT1G42210	AT1G42210	0	0	0	0	0	0
AT1G42220	AT1G42220	0	0	0	0	0	0
AT1G42230	AT1G42230	0	0	0	0	0	0
AT1G42240	AT1G42240	1	1	0	0	1	0
AT1G42250	AT1G42250	0	0	0	0	0	0
AT1G42260	AT1G42260	0	0	0	0	0	0
AT1G42270	AT1G42270	0	0	0	0	0	0
AT1G42280	AT1G42280	0	0	0	0	0	0
AT1G42290	AT1G42290	0	0	0	0	0	0
AT1G42300	AT1G42300	0	0	0	0	0	0
AT1G42310	AT1G42310	0	0	0	0	0	0
AT1G42320	AT1G42320	0	0	0	0	0	0
AT1G42350	AT1G42350	0	0	0	0	0	0
AT1G42360	AT1G42360	0	0	1	1.241	0	0
AT1G42365	AT1G42365	0	0	0	1	0	0
AT1G42367	AT1G42367	0	0	1	0	0	0
AT1G42370	AT1G42370	0	0	0	2.658	0	0
AT1G42375	AT1G42375	0	0	0	1	0	0
AT1G42377	AT1G42377	0	0	0	0	0	0
AT1G42380	AT1G42380	0	0	0	0	0	0
AT1G42385	AT1G42385	0	0	0	0	0	0
AT1G42390	AT1G42390	0	0	0	0	0	0
AT1G42393	AT1G42393	0	0	0	0	0	0
AT1G42396	AT1G42396	0	0	0	0	0	0
AT1G42400	AT1G42400	0	0	0	0	0	0
AT1G42410	AT1G42410	0	0	0	0	0	0
AT1G42420	AT1G42420	0	0	0	0	0	0
AT1G42430	AT1G42430	135	530	54	293	258	318
AT1G42440	AT1G42440	290	972	600	2698	563	547
AT1G42450	AT1G42450	0	0	0	0	0	0
AT1G42460	AT1G42460	0	0	0	0	0	0
AT1G42470	AT1G42470	277	1222	132	546	596	548
AT1G42480	AT1G42480	219	485	183	914	218	248
AT1G42490	AT1G42490	0	0	0	0	0	0
AT1G42500	AT1G42500	0	0	0	0	0	0
AT1G42510	AT1G42510	0	0	0	0	0	0
AT1G42515	AT1G42515	0	0	0	0	0	0
AT1G42520	AT1G42520	0	0	0	0	0	0
AT1G42525	AT1G42525	0	0	0	0	0	0
AT1G42530	AT1G42530	0	0	0	0	0	0
AT1G42540	GLR3.3	243	970	169	697	457	506
AT1G42550	PMI1	385	2522	1725	7707	1010	1151
AT1G42560	MLO9	0	2	0	0	2	1
AT1G42570	AT1G42570	0	0	0	0	0	0
AT1G42580	AT1G42580	0	0	0	0	0	1
AT1G42590	AT1G42590	0	0	0	0	0	0
AT1G42595	AT1G42595	0	0	0	0	0	0
AT1G42600	AT1G42600	0	0	0	0	0	0
AT1G42602	AT1G42602	0	0	0	0	0	0
AT1G42605	AT1G42605	0	0	0	0	0	0
AT1G42610	AT1G42610	0	0	0	0	0	0
AT1G42620	AT1G42620	0	0	0	0	0	0
AT1G42630	AT1G42630	0	0	0	0	0	0
AT1G42635	AT1G42635	0	0	0	0	0	0
AT1G42650	AT1G42650	0	0	0	0	0	0
AT1G42655	AT1G42655	0	0	0	0	0	0
AT1G42680	AT1G42680	0	0	0	0	0	0
AT1G42690	AT1G42690	0	0	1	0	0	0
AT1G42695	AT1G42695	0	0	0	0	0	0
AT1G42697	AT1G42697	0	0	0	0	0	0
